"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-04-25","5.37",,"0.00","0.0","0.0","56","65","51","  160","  160","12.1","16.1",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-04-26","14.32",,"0.02","0.0","0.0","56","62","41","  290","  330","31.1","40.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-04-27","7.83",,"0.16","0.0","0.0","43","51","33","  310","  320","19.9","29.1","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-04-28","8.05",,"0.00","0.0","0.0","43","56","34","  130","  150","16.1","21.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-04-29","9.40",,"0.71","0.0","0.0","43","44","40","  110","  110","18.1","25.1","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-04-30","8.72",,"0.35","0.0","0.0","43","49","40","  110","  100","17.0","23.0","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-05-01","10.51",,"0.58","0.0","0.0","51","63","44","  230","  230","29.1","36.9","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-05-02","5.82",,"0.09","0.0","0.0","49","57","43","   20","   30","12.1","14.1","    1",,,,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-05-03","8.72",,"0.02","0.0","0.0","46","51","43","  130","   40","14.1","17.0","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-05-04","3.80",,"0.00","0.0","0.0","51","64","44","  110","  100","12.1","15.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-05-05","4.25",,"0.00","0.0","0.0","57","71","43","  260","  250","16.1","19.9","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-05-06","6.26",,"0.04","0.0","0.0","59","72","48","  280","  280","21.0","23.9",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-05-07","7.16",,"0.28","0.0","0.0","48","56","40","   30","   30","16.1","19.0","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-05-08","13.65",,"0.00","0.0","0.0","47","58","36","  110","   80","23.0","29.1",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-05-09","12.53",,"0.28","0.0","0.0","60","74","50","  240","  230","23.9","31.1","    1",,,,,,,
